Key,Value
0,t13d1513h2_8daaf6152771_0c2151eeb530
1,t13d1514h2_8daaf6152771_fddc3888abdf
2,t13d1011h2_61a7ad8aa9b6_3fcd1a44f3e3
3,t13d3112h2_e8f1e7e78f70_9c4a419d3a15
4,t13d1712h2_5b57614c22b0_d5fe2c511efa
5,t13d1712h2_5b57614c22b0_ef7df7f74e48
6,t13d1516h2_8daaf6152771_e5627efa2ab1
7,t12d430700_1ce71f0edbb1_693df59da257
8,t13d1010h2_61a7ad8aa9b6_6a7d638fc319
9,t13d1010h2_61a7ad8aa9b6_2aad899d9421
10,t13d1713h2_5b57614c22b0_02c8e53ee398
11,t13d1812h1_85036bcba153_b26ce05bbdd6
12,t13d1514h2_8daaf6152771_a5b99884f7f5
13,t13d141000_cbb2034c60b8_e7c285222651
14,t13d191000_9dc949149365_e7c285222651
15,t13d1516h2_8daaf6152771_02713d6af862
16,t13d1812h1_85036bcba153_d41ae481755e
17,t13d140900_cbb2034c60b8_e7c285222651
18,t13d190900_9dc949149365_97f8aa674fd9
19,t13d3113h2_e8f1e7e78f70_8dca2f18a8fe
20,t13d3112h1_e8f1e7e78f70_e4702036b3bd
21,t13d190800_9dc949149365_97f8aa674fd9
22,t13d181100_85036bcba153_d41ae481755e
23,t12d431000_c7886603b240_0d85039c20ed
24,t13d131000_f57a46bbacb6_e7c285222651
25,t13d1812h1_85036bcba153_ff488e19300a
26,t13d170900_5b57614c22b0_78e6aca7449b
27,t13d1715h2_5b57614c22b0_5c2c66f702b0
28,t12d491300_bd868743f55c_f2f31a8f9015
29,t13d4312h1_c7886603b240_848c75f7d873
30,t13d251000_b78ed14e2fd0_e7c285222651
31,t12d640100_2bfb3963a0e4_d2e2adf7177b
32,t12d4312h1_c7886603b240_b5f122c55bbb
33,t13d1412h2_e33ad33b3d25_6b314db333b6
34,t12d590500_7bd0586cbef7_dc4d1f14a2e8
35,t12d640100_7a83475111b0_d2e2adf7177b
36,t13d311200_e8f1e7e78f70_b33035634b62
37,t13d361200_018971650b2c_9c5ce8fe2bde
38,t13d101000_61a7ad8aa9b6_f9531d972513
39,t12d6401h2_1597732b70be_d2e2adf7177b
40,t13d2014h2_a09f3c656075_e42f34c56612
41,t13d1817h2_e8a523a41297_3cbfd9057e0d
42,t13d1911h2_9dc949149365_e7c285222651
43,t13d431200_c7886603b240_7f1aa88005af
44,t12d640100_c988e806758a_d2e2adf7177b
45,t13d4311h1_c7886603b240_37f09bf92908
46,t13d3113h2_e8f1e7e78f70_13981ce7c404
47,t13d3112h1_e8f1e7e78f70_f7c8c70fb278
48,t12d130600_2d7513195f68_e51b7354d87f
49,t13d191000_9dc949149365_18e8a06d9b2d
50,t13d2912h1_723694b0fccc_b6efb5377799
51,t12d190800_d83cc789557e_7af1ed941c26
52,t13d1313h2_f57a46bbacb6_9249cab70c77
53,t13d3014h1_1d37bd780c83_3feb210b8a4b
54,t12d640100_5affa7d90931_d2e2adf7177b
55,t13d311100_e8f1e7e78f70_475db235fcb6
56,t12d4907h1_730fb1b0ac6a_f476540c9bfa
57,t12d640100_1597732b70be_d2e2adf7177b
58,t13d3113h1_e8f1e7e78f70_860f7c39c952
59,t13d2012h2_2b729b4bf6f3_36bf25f296df
60,t12d491200_bd868743f55c_8e22cf86c8bc
61,t13d1311h2_f57a46bbacb6_e7c285222651
62,t12d590500_a33745022dd6_ebcc2ddcddfb
63,t13d3613h1_018971650b2c_94c777af5ce8
64,t13d181300_e8a523a41297_43ade6aba3df
65,t13d1011h1_61a7ad8aa9b6_3a8073edd8ef
66,t13d3112h2_e8f1e7e78f70_cd6faaae263d
67,t13d1010h1_61a7ad8aa9b6_82c0f9b358b9
68,t13d330900_80cecea31fe6_be0a6507b0e8
69,t12d130500_2d7513195f68_e51b7354d87f
70,t13d311000_e8f1e7e78f70_b505f6e32f82
71,t12d430700_1ce71f0edbb1_041c319e4467
72,t13d311100_e8f1e7e78f70_2d4c05aacbc8
73,t12d280600_d943125447b4_e7e480e5a997
74,t13d201200_2b729b4bf6f3_e24568c0d440
75,t13d3613h1_018971650b2c_501c02c3ab0f
76,t13d1516h2_8daaf6152771_d8a2da3f94cd
77,t13d1515h2_8daaf6152771_4769d65a485e
78,t13d291300_723694b0fccc_5d9b640be817
79,t12d210700_76e208dd3e22_f28add8e7af0
80,t12d4311h1_c7886603b240_b5f122c55bbb
81,t13d221000_231e334592e8_29829a46703f
82,t13d211000_5b4dbf46778c_7bc0f0d81821
83,t13d4312h1_c7886603b240_b5f122c55bbb
84,t13d1517h2_8daaf6152771_b6f405a00624
85,t13d1411h2_cbb2034c60b8_e7c285222651
86,t12d180800_4b22cbed5bed_7af1ed941c26
87,t12d210800_76e208dd3e22_16bbda4055b2
88,t12d560700_99d8c53049f3_db342e227bcc
89,t13d221000_231e334592e8_36bf25f296df
90,t13d1717h2_5b57614c22b0_3cbfd9057e0d
91,t12d6401h1_61dfb605a6ea_d2e2adf7177b
92,t13d1717h2_5b57614c22b0_e6dcd7ae0a9e
93,t12d1310h2_8b80da21ef18_e69ac49eb88f
94,t13d221100_231e334592e8_36bf25f296df
95,t13d3614h1_018971650b2c_2b45f2a2f523
