Key,Value
0,Mozilla5.0 Windows NT 6.3 AppleWebKit537.36 K
1,Mozilla5.0 Windows NT 10.0 WOW64 rv48.0 Geck
2,Custom-AsyncHttpClient
3,Mozilla5.0 Windows NT 10.0 WOW64 Trident7.0 
4,Go-http-client1.1
5,Java17.0.4.1
6,WordPress6.6.2 https://www.elisabethgreen.com
7,HomeAssistant2024.10.4 httpx0.27.2 Python3.12
8,Mozilla5.0 X11 Linux x86_64 AppleWebKit537.36
9,Mozilla5.0 Windows NT 6.3 Win64 x64 AppleWebK
10,Mozilla5.0 Windows NT 10.0 Win64 x64 AppleWeb
11,axios1.7.7
12,Mozilla5.0 X11 Linux x86_64 rv2.2a1pre Gecko
13,python-requests2.31.0
14,Mozlila5.0 Linux Android 7.0 SM-G892A BulidNR
15,Mozilla5.0 Linux Android 5.0 AppleWebKit537.3
16,python-requests2.32.3
17,ddg_android5.173.1 com.duckduckgo.mobile.android
18,python-requests2.25.1
19,Mozilla5.0 compatible Odin httpsdocs.getodi
20,Apache-HttpClient4.5.6 Java1.8.0_432
21,Mozilla5.0 Windows NT 10.0.0 Win64 x64  Appl
22,fasthttp
23,Mozilla5.0 zgrab0.x
24,Mozilla5.0 Windows NT 6.3 WOW64 AppleWebKit53
25,Mozilla5.0 Linux Android 11 Redmi Note 9 Pro B
26,Mozilla5.0 Keydrop
27,Mozilla5.0 Macintosh Intel Mac OS X 10.8 rv21
28,Go-http-client2.0
29,DuckDuckBot1.0 +httpduckduckgo.comduckduckb
30,Mozilla5.0 Windows NT 6.1 WOW64 Trident7.0 M
31,Mozilla4.0 compatible MSIE 8.0 Windows NT 6.1
32,curl7.88.1
33,Python3.11 aiohttp3.8.4
34,Mozilla5.0 X11 U Linux i686 de rv1.9.1.8 G
35,WordPress6.5.5 https://ageofminiatures.com
36,Mozilla5.0 iPhone CPU iPhone OS 8_1 like Mac OS
37,Mozilla5.0 Macintosh Intel Mac OS X 10_16_0 Ap
38,GuzzleHttp7
39,Mozilla 5.0 Windows NT 10.0 Win64 x64 AppleWe
40,Mozilla5.0 iPhone CPU iPhone OS 17_0 like Mac O
41,WordPress6.6.2 https://jouwpersoonlijkegroei.nl
42,Mozilla5.0 Linux Android 5.1.1 SAMSUNG SM-N920
43,axios1.7.2
44,WordPress6.6.2 https://ein-geschenk.de
45,Mozilla5.0 Windows NT 10.0 Win64 x64 rv125.0
46,Mozilla5.0 Windows NT 10.0 WOW64 AppleWebKit5
47,python-requests2.26.0
48,Mozilla5.0 Macintosh Intel Mac OS X 10_11_5 Ap
49,Python3.12 aiohttp3.9.3
50,Java1.8.0_332
51,Mozilla5.0 Linux U Android 4.4.2 en-US HM NO
52,Mozilla5.0 AppleWebKit537.36 KHTML like Gecko
53,Mozilla5.0 Linux Android 4.4.4 SM-E700M Build
54,Mozilla5.0 Windows NT 6.1 AppleWebKit537.36 K
55,Mozilla5.0 Macintosh Intel Mac OS X 10_10_5 Ap
56,curl7.4.0
57,Mozilla5.0 compatible GenomeCrawlerd1.0 +htt
58,ALittle Client
59,Mozilla5.0 Windows NT 6.1 WOW64 AppleWebKit53
60,Mozilla5.0 X11 Fedora Linux x86_64 rv94.0 G
61,Python3.12 aiohttp3.10.5
62,axios1.7.4
63,Mozilla5.0 iPhone CPU iPhone OS 17_5_1 like Mac
64,Mozilla5.0 Windows NT 15.0.0 Win64 x64  Appl
65,Mozilla5.0 Windows NT 10.0 Win64 x64 rv122.0
66,axios1.6.7
67,Mozilla5.0 Linux Android 7.0 AppleWebKit537.
68,Mozilla5.0 Macintosh Intel Mac OS X 10.15 rv7
69,Mozilla5.0 Windows NT 11.0 Win64 x64 AppleWeb
70,Ruby
71,Mozilla5.0 Windows NT 6.0 WOW64 rv49.0 Gecko
72,Baiduspider2.0++httpwww.baidu.comsearchspid
73,python-requests2.18.4
74,axios1.3.3
75,python-requests2.28.2
76,curl7.64.0
77,Scrapy2.11.0 +httpsscrapy.org
78,Mozilla5.0 Knoppix Linux i686 AppleWebKit537.
79,Mozilla5.0 Java outbrain
80,Mozilla5.0 compatible Baiduspider2.0 +http
81,curl7.29.0
82,Scrapy2.5.1 +httpsscrapy.org
83,curl7.54.0
84,Mozilla5.0
85,python-requests2.22.0
86,Mozilla5.0 Linux Android 11 M2010J19SI AppleW
87,yacybot global amd64 Linux 6.11.5-gentoo java 
88,LinkedInBot1.0 compatible Mozilla5.0 Apache-H
89,python-requests2.27.1
90,Mozilla5.0 Macintosh Intel Mac OS X 10_15_7 Ap
91,Mozilla5.0 X11 U Linux i686 en-US rv1.8.1.1
92,Mozilla5.0 Windows NT 10.0 Win64 x64 rv109.0
93,Mozilla5.0 Macintosh Intel Mac OS X 10.12 rv1
94,SuperBot4.4.0.60 Windows XP
95,python-requests2.28.1
96,Apache-HttpClient4.5.13 Java11.0.24
97,Java1.8.0_161
98,Mozilla5.0 Linux Android 5.1.1 SAMSUNG SM-G360
99,Mozilla5.0 X11 Linux x86_64 rv5.0 Gecko2010
100,WordPress6.6.2 https://jouwlijfstijl.com
101,Mozilla5.0 Windows NT 6.1 WOW64 rv45.0 Gecko
102,Mozilla5.0 Windows NT 10.0 Win64 x64  AppleW
103,Mozilla5.0 Windows NT 6.1 Win64 x64 AppleWebK
104,Mozilla5.0 Ubuntu Linux x86_64 AppleWebKit537
105,curl7.79.1 WincherBot1.0.0
106,axios0.21.4
107,Mozilla5.0 compatible SemrushBot7bl +http
108,Mozilla5.0 X11 U Linux i686 x86_64 en-US r
109,Mozilla4.0 compatible MSIE 6.0 Windows NT 5.0
110,Mozilla5.0 X11 U Linux x86_64 en-US rv1.9 
111,Mozilla5.0 Windows NT 10.0 Win64 x64 rv120.0
112,Mozilla5.0 Macintosh Intel Mac OS X 10.15 rv1
113,Mozilla5.0 Macintosh U Intel Mac OS X 10_6_8 
114,axios0.27.2
115,axios1.6.8
116,RepoLookoutBotv1.1.0-312-gb56706a abuse reports 
117,Mozilla5.0 Windows NT 10.0 Win64 x64 rv130.0
118,Wget1.9 cvs-stable Red Hat modified
119,Mozilla
120,Apache-HttpClient4.5.14 Java11.0.25
121,Mozilla5.0 Macintosh Intel Mac OS X 10_15_6 Ap
122,Avant Browser1.2.789rel1 httpwww.avantbrowser
123,Mozilla5.0 Windows NT 6.1 Win64 x64 rv109.0
124,Mozilla5.0 CentOS Linux i686 rv128.0 Gecko2
125,Mozilla5.0 Linux Android 14 22101316G BuildUP
126,Mozilla5.0 Windows NT 6.3 Win64 x64 rv87.0 
127,axios0.19.2
128,Python3.8 aiohttp3.9.5
129,Mozilla5.0 X11 Linux i686 rv128.0 Gecko2010
130,curl8.3.0
131,Mozilla5.0 Macintosh Intel Mac OS X 10_15_0 Ap
132,Mozilla5.0 Windows NT 6.2 WOW64 rv40.0 Gecko
133,Wget1.9.1
134,Mozilla5.0 X11 U Linux i686 en-US AppleWebKi
135,Mozilla5.0 platform rvgeckoversion Geckogeck
136,Mozilla5.0 Macintosh Intel Mac OS X 10_12_5 Ap
137,Mozilla5.0 Linux Android 11 SM-A225F AppleWeb
138,Python-urllib2.5
139,KlHttpClientCurl30.1720.0.490
140,Mozilla5.0 Linux Android 4.4.2 C6730 BuildKVT
141,Mozilla5.0 compatible Bytespider spider-feedba
142,Mozilla5.0 Linux Android 10 K AppleWebKit537
143,Python-urllib3.11
144,WordPress6.6.2 https://sustainablejunglecom.bigs
145,Mozilla5.0 ZZ Linux x86_64 AppleWebKit537.36 
146,Mozilla5.0 Windows NT 6.1 rv17.0 Gecko17.0 F
147,Mozilla5.0 ZZ Linux i686 rv126.0 Gecko20100
148,Java-http-client17.0.11
149,Mozilla5.0 Windows NT 6.2 Win64 x64 AppleWebK
150,Mozilla5.0 Kubuntu Linux x86_64 AppleWebKit53
151,Python3.11 aiohttp3.8.5
152,Mozilla5.0 Linux U Android 2.3.6 en-us M865 
153,Mozilla5.0 iPhone CPU iPhone OS 7_0_2 like Mac 
154,Mozilla5.0 Linux U Android 4.1.2 en-us Z795G
155,Apache-HttpClient5.3.1 Java21.0.5
156,Mozilla5.0 Windows NT 5.1 U de rv1.9.1.6 Ge
157,Mozilla5.0 Linux Android 6.0.1 Nexus 5X Build
158,ddg_android5.169.0 com.duckduckgo.mobile.android
159,Mozilla5.0 compatible MSIE 9.0 Windows NT 6.1
160,Mozilla5.0 Windows U Windows NT 5.1 en-US Ap
161,Mozilla5.0 Linux U Android 4.1.2 en-gb SM-T2
162,Mozilla5.0 Windows U Windows NT 5.2 x64 en-US
163,Mozilla5.0 Windows NT 10.0 Trident7.0 rv11.0
164,Mozilla5.0 Linux U Android 1.5 en-gb T-Mobil
165,WordPress6.5.5 https://organicmakeuptips.com
166,python-httpx0.27.0
167,Mozilla5.0 Windows NT 10.0 Win64 x64 rv81.0
168,WordPress6.6.2 https://www.vitasumarte.com
169,Mozilla5.0 Linux Android 7.0 SAMSUNG SM-G930P 
170,Python3.10 aiohttp3.10.10
171,Mozilla5.0 Linux Android 5.0 SM-G900P BuildLR
172,Mozilla5.0 Macintosh Intel Mac OS X 10_8_2 App
173,Mozilla5.0 Macintosh U Intel Mac OS X 10_6_4 
174,Mozilla5.0 Windows NT 6.0 rv34.0 Gecko201001
175,Mozilla5.0 Android Mobile rv14.0 Gecko14.0 
176,Wget1.12 freebsd8.1
177,Mozilla4.0 compatible MSIE 5.0 Windows 98 Ope
178,Mozilla5.0 Windows U Windows NT 5.0 en-US Ap
179,PycURL7.45.2 libcurl7.64.0 OpenSSL1.1.1n zlib1
180,Mozilla5.0 Windows NT 6.3 WOW64 Trident7.0 T
181,WordPress6.6.2 https://nozzler.io
182,curl8.6.0
183,WordPress6.6.2 https://drucktipps3d.de
184,Mozilla5.0 Windows U Windows NT 6.1 en-GB rv
185,Python-urllib3.9
186,Mozilla5.0 Windows U Windows NT 5.1 es-ES rv
187,Python3.9 aiohttp3.10.6
188,Mozilla5.0 Windows NT 10.0 AppleWebKit537.36 
189,Mozilla5.0 Linux Android 4.1.2 GT-I8190L Build
190,Mozilla5.0 Linux Android 7.0 SM-G930T1 BuildN
191,Mozilla5.0 X11 U Linux i686 ru rv1.8.0.4 G
192,Mozilla5.0 iPad U CPU OS 5_1 like Mac OS X en
193,Mozilla4.0 compatible MSIE 7.0 Windows NT 6.2
194,Mozilla5.0 Ubuntu Linux i686 AppleWebKit537.3
195,WordPress6.6.2 https://www.wpthemedetector.com
196,Mozilla5.0 Windows U Windows NT 6.1 en-us rv
197,Mozilla5.0 X11 U Linux ppc en-US rv1.8.1.13
198,WordPress6.6.2 https://www.samariter-favoriten.a
199,Mozilla5.0 Windows NT 6.1 WOW64 rv40.0 Gecko
200,app_process32 unknown version curl7.81.0
201,Mozilla5.0 Windows NT 10.0 rv128.0 Gecko2010
202,Apache-HttpClientUNAVAILABLE Java17.0.13
203,Mozilla4.0 compatible MSIE 9.0 Windows NT 6.1
204,Mozilla5.0 X11 U Linux i686 pl-PL rv1.9.0.6
205,More Opera 9.20 user agents strings --
206,Python3.10 aiohttp3.10.5
207,Mozilla5.0 Linux Android 6.0.1 Z981 BuildMMB2
208,Mozilla5.0 X11 Linux i686 rv126.0 Gecko2010
209,Mozilla5.0 Macintosh U Intel Mac OS X 10_8 en
210,KlHttpClientCurl30.1783.0.140
211,WordPress6.6.2 https://www.blogdechollos.com
212,python-requests2.21.0
213,curl8.5.0
214,Mozilla5.0 Linux Android 8.0.0 SM-G930F Apple
215,Mozilla5.0 Linux Android 8.0.0 SM-G935F Apple
216,Mozilla5.0 Debian Linux x86_64 AppleWebKit537
217,Mozilla5.0 Macintosh Intel Mac OS X 10_15_9 Ap
218,Mozilla5.0 Linux Android 7.0 Redmi Note 4 App
219,Jersey2.36 Apache HttpClient 4.5.14
220,Mozilla5.0 Macintosh Intel Mac OS X 10_15_4 Ap
221,Mozilla5.0 X11 U Linux x86_64 en-US rv1.8.0
222,Mozilla5.0 Macintosh Intel Mac OS X 12_2_8 en
223,Mozilla5.0 iPhone CPU iPhone OS 18_0_1 like Mac
224,Python3.8 aiohttp3.6.2
225,Mozilla5.0 ZZ Linux x86_64 rv120.0 Gecko201
226,Mozilla5.0 iPad CPU OS 9_0 like Mac OS X Apple
227,Mozilla5.0 Linux Android 4.4.4 SM-A300F Build
228,Mozilla5.0 X11 Linux x86_64 rv132.0 Gecko20
229,WordPress6.6.2 https://hisforhomeblog.com
230,Mozilla5.0 Macintosh Intel Mac OS X 11 AppleWe
231,Mozilla5.0 Linux Android 4.4.2 GT-I9505 Build
232,Mozilla5.0 ZZ Linux x86_64 rv126.0 Gecko201
233,Mozilla5.0 compatible MSIE 10.0 Windows NT 6.2
234,Mozilla5.0 Macintosh Intel Mac OS X 10_15_5 Ap
235,Curl
236,Mozilla5.0 Macintosh Intel Mac OS X 10_15_3 Ap
237,Mozilla5.0 Macintosh Intel Mac OS X 10_12_6 Ap
238,Mozilla4.0 Windows U Windows NT 5.0 en-US Ap
239,Mozilla5.0 Linux U Android 2.2.2 en-us LG-P5
240,Mozilla5.0 Linux Android 4.4.2 LG-V500 BuildK
241,Opera9.80 MTK Nucleus Opera Mobi2167 U en-U
242,Mozilla5.0 X11 Linux i686 rv2.0b6pre Gecko2
243,Mozilla5.0 SS Linux x86_64 rv124.0 Gecko201
244,Mozilla5.0 Macintosh Intel Mac OS X 10_14_6 Ap
245,Mozilla5.0 X11 Fedora Linux x86_64 AppleWebKi
246,Mozilla5.0 iPad CPU OS 7_0 like Mac OS X Apple
247,Mozilla5.0 Knoppix Linux i686 rv126.0 Gecko
248,SSLVPN-Client3.0
249,Mozilla5.0 Macintosh Intel Mac OS X 10_10_4 Ap
250,Python3.9 aiohttp3.8.1
251,WordPress6.6.2 https://majesticgardening.com
252,Mozilla5.0 Macintosh Intel Mac OS X 10_13_6 Ap
253,Mozilla5.0 Linux Android 4.4.2 en-us SAMSUNG-
254,python-urllib32.2.3
255,Mozilla5.0 Fedora Linux i686 AppleWebKit537.3
256,Mozilla5.0 Linux Android 10 Redmi Note 8 Pro 
257,Mozilla5.0 Linux Android 11 SM-A515F AppleWeb
258,Mozilla5.0 Android 8.0.0 Mobile rv62.0 Gecko
259,yacybot global amd64 Linux 5.10.0-12-amd64 jav
260,WordPress6.6.1 https://www.3dsourced.com
261,Mozilla5.0 Windows NT 10.0 Win64 x64 rv68.0
262,Mozilla5.0 X11 U Linux x86_64 en-US AppleWeb
263,Mozilla4.0 compatible MSIE 6.0 Windows NT 5.1
264,Mozilla5.0 Linux Android 9 SM-G960F AppleWebK
265,Apache-HttpClient5.1.4 Java11.0.18
266,python-httpx0.24.1
267,Mozilla5.0 compatible MSIE 9.0 Windows NT 6.3
268,Python3.11 aiohttp3.9.3
269,Opera9.80 Linux mips U  en Presto2.10.287 V
270,Mozilla5.0 Windows NT 6.0 AppleWebKit534.55.3 
271,Callpod Keeper for Android 1.0 10.1.1240 Dalvik
272,Chrome15.0.860.0 Windows U Windows NT 6.0 en-
273,Python3.12 aiohttp3.10.10
274,Python3.10 aiohttp3.8.6
275,Mozilla5.0 iPhone CPU iPhone OS 10_3_3 like Mac
276,axios0.21.1
277,Wget1.16 linux-gnu
278,Mozilla5.0 X11 U Linux x86_64 en-US rv1.8.1
279,Mozilla4.0 compatible MSIE 8.0 Windows NT 6.0
280,Mozilla5.0 iPad U CPU iPad OS 5_0_1 like Mac O
281,Mozilla5.0 ZZ Linux i686 AppleWebKit537.36 K
282,Mozilla5.0 Windows NT 10.0 Win64 x64 rv104.0
